Date,People,Showers a day,Washing Machine week,Amount
9/10/2021,2,3,2,450
10/10/2021,2,4,1,300
11/10/2021,3,3,2,0
12/10/2021,4,6,3,900
1/10/2022,3,5,4,750
2/10/2022,3,6,2,750
3/10/2022,2,4,3,900
4/10/2022,1,0,4,0
5/10/2022,3,5,2,300
6/10/2022,3,4,3,750
7/10/2022,2,5,4,750
8/10/2022,2,4,2,300
9/10/2022,2,3,3,450
10/10/2022,4,8,2,600
11/10/2022,4,7,6,1350
12/10/2022,5,10,5,1200
1/10/2023,2,4,4,900
2/10/2023,2,3,2,600
3/10/2023,2,5,7,1200
4/10/2023,1,2,3,600
5/10/2023,4,2,2,600
6/10/2023,4,10,4,1200
7/10/2023,5,8,4,680
8/10/2023,5,8,6,1350
